,count,mean,std,min,25%,50%,75%,max
cbo_mean,7.0,2.225932545438348,2.0758004257513285,0.0,0.5,1.8744186046511628,3.653340882565442,5.400427448286391
cbo_median,7.0,1.8571428571428572,1.5735915849388864,0.0,0.5,2.0,3.0,4.0
cbo_std,5.0,3.0857452939742895,2.5657452220638874,0.0,1.5125785718767955,2.60697555079936,4.980639133116262,6.32853321407903
dit_mean,7.0,1.1045540975597248,0.13342202872658523,1.0,1.0,1.0,1.2184696826543657,1.2949393176093429
dit_median,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
dit_std,5.0,0.3507016108099907,0.344938847522217,0.0,0.0,0.43921085880212773,0.5262009057092047,0.7880962895386211
lcom_mean,7.0,161.466754452661,418.64407740567583,0.0,0.0,1.8405491024287224,8.811392348888688,1110.803947368421
lcom_median,7.0,2.0,4.864839839775475,0.0,0.0,0.0,0.5,13.0
lcom_std,5.0,1655.070118139481,3634.1274140767423,0.0,6.473067688345651,10.457868194443543,102.86440869066645,8155.5552461239495
loc_sum,7.0,76419.71428571429,143363.22341953006,5.0,40.0,7700.0,68193.5,390766.0
loc_mean,7.0,35.12759999960958,44.56143262650407,5.0,11.867476240760295,18.75,32.82057112629428,132.7671052631579
loc_median,7.0,15.785714285714286,11.02216381832965,5.0,8.0,11.0,23.5,31.5
wmc_mean,7.0,6.249016632522268,6.658291389720142,1.0,2.143347412882788,4.5,6.932816064103042,20.09078947368421
wmc_median,7.0,4.0,3.7416573867739413,1.0,1.5,2.0,5.5,11.0
num_classes,7.0,2282.285714285714,4819.845838277601,1.0,2.5,215.0,1327.0,13101.0
stargazerCount,7.0,89348.14285714286,15112.723893335393,76445.0,78271.0,81521.0,97313.5,116302.0
diskUsage,7.0,190355.42857142858,183422.38656159825,26590.0,52781.0,123199.0,283665.0,509807.0
forkCount,7.0,22714.571428571428,10516.072410951769,13268.0,14191.5,19261.0,28309.5,41471.0
age_years,0.0,,,,,,,
stars,0.0,,,,,,,
